"ubigeo","nombre","longitud","latitud","altura_antena","punto_type_id","metros_sobre_nivel_mar","green_asociado","conectado","user_id"
11,"transporte1","-78.426652","-6.884226","15",2,"3733","",True,NULL
12,"transporte2","-78.438926","-6.900705","15",2,"3984","",True,NULL
13,"transporte3","-78.454004","-6.937299","15",2,"4103","",True,NULL
1,"acceso1","-78.397267","-6.898882","15",1,"3825","",False,NULL
2,"acceso2","-78.424352","-6.893104","15",1,"3848","",False,NULL
3,"acceso3","-78.420674","-6.922061","15",1,"3853","",False,NULL
4,"acceso4","-78.447779","-6.890579","15",1,"3737","",False,NULL
5,"acceso5","-78.461209","-6.886364","15",1,"3673","transporte",False,NULL
6,"acceso6","-78.4554","-6.918098","15",1,"3934","",False,NULL
7,"acceso7","-78.477435","-6.91485","15",1,"4024","",False,NULL
8,"acceso8","-78.504492","-6.901809","15",1,"3752","",False,NULL
9,"acceso9","-78.431883","-6.915703","15",1,"4076","transporte",False,NULL
10,"acceso10","-78.436611","-6.895702","15",1,"3870","",False,NULL
