nombre,ubigeo,longitud,latitud,altura_antena,tipo,metros_sobre_nivel_mar,green_asociado,conectado
transporte1,11,-78.426652,-6.884226,15.0,transporte,3733.0,,True
transporte2,12,-78.438926,-6.900705,15.0,transporte,3984.0,,True
transporte3,13,-78.454004,-6.937299,15.0,transporte,4103.0,,True
acceso1,1,-78.397267,-6.898882,15.0,acceso,3825.0,,False
acceso2,2,-78.424352,-6.893104,15.0,acceso,3848.0,,False
acceso3,3,-78.420674,-6.922061,15.0,acceso,3853.0,,False
acceso4,4,-78.447779,-6.890579,15.0,acceso,3737.0,,False
acceso5,5,-78.461209,-6.886364,15.0,acceso,3673.0,transporte,False
acceso6,6,-78.4554,-6.918098,15.0,acceso,3934.0,,False
acceso7,7,-78.477435,-6.91485,15.0,acceso,4024.0,,False
acceso8,8,-78.504492,-6.901809,15.0,acceso,3752.0,,False
acceso9,9,-78.431883,-6.915703,15.0,acceso,4076.0,transporte,False
acceso10,10,-78.436611,-6.895702,15.0,acceso,3870.0,,False
